source,dest
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/getting-started/create-an-application-project.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/getting-started/create-application-project/using-the-wizard.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/how-to-use/configuring-pipeline.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/how-to-use/pipelines/configuring-production-pipelines.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/introduction-to-cloud-manager.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/introduction.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/overview/key-concepts.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/overview/key-concepts.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/overview/customer-journey.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/overview/user-journey.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/overview/ci-cd-pipeline.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/overview/ci-cd-pipeline.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/overview/security-and-privacy.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/overview/security-and-privacy.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/overview/help-resources.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/overview/help-resources.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/overview/cloud-manager-faqs.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/overview/faqs.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/requirements/access-rights-granted.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/requirements/access-rights.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/requirements/source-code-repository.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/requirements/source-code-repository.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/requirements/role-based-permissions.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/requirements/role-based-permissions.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/requirements/setting-up-users-and-roles.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/requirements/users-and-roles.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/requirements/environments-provisioned.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/requirements/environment-provisioning.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/getting-started/first-time-login.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/getting-started/first-time-login.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/getting-started/setting-up-program.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/getting-started/program-setup.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/getting-started/create-application-project/using-the-wizard.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/getting-started/project-creation/using-the-wizard.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/getting-started/create-application-project/setting-up-project.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/getting-started/project-creation/project-setup.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/getting-started/create-application-project/build-environment-details.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/getting-started/project-creation/build-environment.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/getting-started/configure-your-release-branches.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/getting-started/configuring-branches.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/getting-started/dispatcher-configurations.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/getting-started/dispatcher-configurations.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/how-to-use/pipelines/configuring-production-pipelines.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/using/pipelines/production-pipelines.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/how-to-use/pipelines/configuring-non-production-pipelines.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/using/pipelines/non-production-pipelines.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/how-to-use/pipelines/managing-pipelines.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/using/pipelines/managing-pipelines.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/how-to-use/deploying-code.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/using/code-deployment.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/how-to-use/understand-your-test-results.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/using/code-quality-testing.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/how-to-use/manage-your-environment.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/using/managing-environments.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/how-to-use/monitor-your-environments.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/using/monitoring-environments.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/how-to-use/notifications.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/using/notifications.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/how-to-use/custom-code-quality-rules.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/using/custom-code-quality-rules.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/managing-code/activating-maven-project.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/managing-code/maven-project-version.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/managing-code/cloud-manager-repositories.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/managing-code/repositories.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/managing-code/accessing-repos.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/managing-code/repositories.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/managing-code/setup-cloud-manager-git-integration.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/managing-code/git-integration.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/managing-code/working-with-multiple-source-git-repos.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/managing-code/multiple-git-repos.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/product-update-wizard/overview-productupdate-wizard.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/product-update-wizard/overview.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/product-update-wizard/evaluation.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/product-update-wizard/evaluation.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-current.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/current.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2022-6-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2022/2022-6-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2022-5-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2022/2022-5-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2022-4-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2022/2022-4-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2022-3-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2022/2022-3-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2022-2-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2022/2022-2-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2022-1-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2022/2022-1-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2021-12-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2021/2021-12-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2021-11-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2021/2021-11-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2021-10-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2021/2021-10-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2021-9-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2021/2021-9-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2021-8-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2021/2021-8-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2021-7-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2021/2021-7-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2021-6-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2021/2021-6-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2021-5-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2021/2021-5-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2021-4-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2021/2021-4-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2021-3-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2021/2021-3-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2021-2-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2021/2021-2-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2020-12-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2020/2020-12-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2020-11-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2020/2020-11-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2020-10-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2020/2020-10-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2020-9-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2020/2020-9-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2020-8-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2020/2020-8-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2020-7-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2020/2020-7-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2020-6-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2020/2020-6-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2020-5-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2020/2020-5-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2020-4-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2020/2020-4-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2020-3-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2020/2020-3-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2020-2-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2020/2020-2-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2020-1-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2020/2020-1-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2019-12-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2019/2019-12-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2019-11-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2019/2019-11-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2019-10-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2019/2019-10-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2019-9-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2019/2019-9-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2019-8-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2019/2019-8-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2019-7-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2019/2019-7-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2019-6-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2019/2019-6-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2019-5-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2019/2019-5-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2019-4-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2019/2019-4-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2019-3-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2019/2019-3-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2019-2-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2019/2019-2-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2019-1-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2019/2019-1-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2018-9-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2018/2018-9-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2018-8-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2018/2018-8-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2018-7-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2018/2018-7-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2018-6-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2018/2018-6-0.html
https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/using/release-notes/release-notes-2018-5-0.html,https://experienceleague.adobe.com/docs/experience-manager-cloud-manager/content/release-notes/2018/2018-5-0.html